Place_Name,Item,New Name (if needed),Category,Sub1,Sub2,Within_Places,Total_Instances,Latitude,Longitude,Source? (for LatLon),Notes/questions
"St. Peter, shrine",Rome - St. Peter,,infrastructure,Ecclesia,shrine,,1,41.5408,12.2712,https://en.wikipedia.org/wiki/St._Peter%27s_Basilica,
"St. Stephen, Martyrium",Antioch (Syria) - Martyrium of St. Stephen ,,infrastructure,Ecclesia,shrine,,1,,,,"No sources directly mention its location (also see Glanville Downey's A History of Antioch in Syria from Seleucus to the Arab Conquest, p.520. So far I only know it's (perhaps) at the west side of the city and was burned down during the AD525 great fire."
"St. Thomas, Shrine of",Edessa - Shrine of St. Thomas,,infrastructure,Ecclesia,shrine,,1,38.4072,42.8917,"https://www.google.com/maps/place/Alt%C4%B1nsa%C3%A7,+65700+Geva%C5%9F%2FVan,+Turkey/@38.4068854,42.8874122,16z/data=!3m1!4b1!4m5!3m4!1s0x400d9d772d74051d:0x3614ae16bfe1116!8m2!3d38.4067999!4d42.8917",
Dining Room with the Bronze Doors,Constantinople - Dining Room with Bronze Doors in Great Palace,,infrastructure,Imperium,room,within Great Palace,1,,,,
Porphyra,Constantinople - Porphyra in Great Palace,,infrastructure,Imperium,room,within Great Palace,1,,,,
The Pulpita,Constantinople - The Pulpita in Great Palace,,infrastructure,Imperium,room,within Great Palace,1,41.006264,28.976293,,"This is the approximate locationn; according to Paolo A. Belzoni, the Pulpita is nearlly adjuncent to the east side of the Hippodrome"
Prison,Constantinople - Prison,,infrastructure,Imperium,prison,,1,,,,"this should be within ""Constantinople - Praetorium"""
Portico of the Domninos,Constantinople - Portico of the Domninos,Constantinople - Portico of the Domninos in the Church of Anastasius,infrastructure,Populus,portico,within The Church of Anatasius,1,,,https://www.oxfordreference.com/view/10.1093/acref/9780195046526.001.0001/acref-9780195046526-e-2124?rskey=IWjiHn&result=2,"this being added to ""Within the Church of Anastasius"" is new -- please update that rachel (thanks!) EDIT: This is in the CP Palimpsest map, but drawn off of the wikimap. How do we want to do this? "
Portico of the Protectores,Constantinople - Portico of the Protectores,,infrastructure,Populus,portico,,1,,,,
The Portico of the Basilica,Constantinople - The Portico of the Basilica,,infrastructure,Populus,portico,,1,,,,
Pier of St. Thomas,Constantinople - Pier of St. Thomas,,infrastructure,Hydrology,pier,,1,,,,"The only information in regards of its location is ""At the harbor of Sophia""; but no more sources can be found"
Orchard,Chrasis - Orchard,,infrastructure,Senatus,orchard,,1,,,,
Statue of Anastasios in the Antikantharos,Alexandria - Anastasius Statue in Antikantharos,Constantinople - Statue of Anastasius,infrastructure,Populus,monument,within Antikantharos,1,41.009537,28.961749,"https://www.google.com/maps/dir/Theodosius+Forumu/Balabana%C4%9Fa,+Forum+of+Theodosius,+Ordu+Cd.,+34134+Fatih%2F%C4%B0stanbul,+Turkey/@41.009541,28.9595603,17z/data=!4m14!4m13!1m5!1m1!1s0x14cab971f0edc9a1:0x1ecad85ea5f14767!2m2!1d28.9617387!2d41.0095451!1m5!1m1!1s0x14cab971f0edc9a1:0x1ecad85ea5f14767!2m2!1d28.9617387!2d41.0095451!3e1",
Arkadios (by the arch of the Tauros),Constantinople - Arkadios (by the arch of the Tauros),Constantinople - Statue of Arkadios,infrastructure,Populus,monument,,1,,,,"the two Arkadios items should be collapsed, they are the same"
Arkadios (in the Xerolophos),Constantinople - Arkadios (in the Xerolophos),Constantinople - Statue of Arkadios,infrastructure,Populus,monument,,1,41.0078,28.9431,,
Constantinople - Atalos,Constantinople - Atalos,,infrastructure,Populus,monument,,1,40.993077,28.92263,,"this should be combined with ""Constantinople - Atalos Gate"""
Justinian I,Constantinople - Justinian I,,infrastructure,Populus,monument,,1,,,https://en.wikipedia.org/wiki/Augustaion#/media/File:Constantinople_imperial_district.png,
Statue of Anastasios on Column of the Tauros,Constantinople - Statue of Anastasios on Column of the Tauros,,infrastructure,Populus,monument,,1,,,"https://www.google.com/maps/place/Beyazit+Square/@41.0104983,28.9631985,18z/data=!4m5!3m4!1s0x14cab98f4fbf9113:0x721bc44b10ee1a71!8m2!3d41.010462!4d28.9638957","""in the area"" of modern bayezit sqare "
Statue of Dionysus,Emesa - Statue of Dionysus,,infrastructure,Populus,monument,,1,34.7293,36.72,https://en.wikipedia.org/wiki/Saint_Mary_Church_of_the_Holy_Belt,"this is within the great church of Emesa, according to ODLA (https://books.google.com/books?id=A09WDwAAQBAJ&pg=PA534&lpg=PA534&dq=dionysus+emesa&source=bl&ots=8voBwLaKfu&sig=ACfU3U3Au2-15U6Yr6hFobQM-2Abog7dwQ&hl=en&ppis=_e&sa=X&ved=2ahUKEwiL6v6i4rvnAhURVt8KHc3gAksQ6AEwBHoECAgQAQ#v=onepage&q=dionysus%20emesa&f=false) It seems likely to me that this is the church mentioned, given context clues, but I would like confirmation "
Triplyon,Antioch (Syria) - Triplyon,,infrastructure,Populus,monument,,1,,,,"as Theophane mentioned, this is a place outside the citygate. I know it was formed by a triple arc. However, no indications of this location can be found elsewhere (also see G Downey p. 621 and ""Arc de Triomphe de Theveste"" by Antoine Jean Letronne)"
Abramiaion,Constantinople - Abramiaion,,infrastructure,Ecclesia,monastery,,1,,,,this appears to in fact be within the Hagia Sofia
"Chora, monastery of",Constantinople - Chora,,infrastructure,Ecclesia,monastery,,1,41.0312,28.9392,,
"Hormisdas, monastery of",Constantinople - Hormisdas,,infrastructure,Ecclesia,monastery,,1,41.0027,28.9722,https://latitude.to/articles-by-country/tr/turkey/18164/little-hagia-sophia,
"Konon, Monastery of",Constantinople - Konon,,infrastructure,Ecclesia,monastery,,1,35.3849,33.8991,https://en.wikipedia.org/wiki/Kantara_monastery,
"Maximinus, monastery of",Constantinople - Maximinus,Constantinople - Monastery of Maximinus,infrastructure,Ecclesia,monastery,,1,,,,
Monastery of the Cave,Emesa - Monastery of the Cave,,infrastructure,Ecclesia,monastery,,1,,,,
Monastery of the Mother of God,Chrysopolis - Monastery of the Mother of God,,infrastructure,Ecclesia,monastery,,1,,,,
"New Repentance, monastery of",Constantinople - New Repentance,,infrastructure,Ecclesia,monastery,,1,,,,
St. Diomedes (?),Constantinople - St. Diomedes,,infrastructure,Ecclesia,monastery,,1,40.996046,28.925177,,
"St. Sabas, monastery",Rome - St. Sabas,,infrastructure,Ecclesia,monastery,,1,41.5243,12.2908,"https://en.wikipedia.org/wiki/San_Saba,_Rome",
"St. Tarasios, monastery of",Constantinople - St. Tarasios,Constantinople - Monastery of St. Tarasios,infrastructure,Ecclesia,monastery,,1,,,,"founded by Tarasios, ""on the European shore of the Bosporus"", outside Constantinople (https://books.google.com/books?id=vGE8Xq832A0C&pg=PA490&lpg=PA490&dq=monastery+of+st+Tarasios&source=bl&ots=DZPIM1mmlZ&sig=ACfU3U3xMWlqInlFxscwslmBkD9ys9wUtw&hl=en&ppis=_e&sa=X&ved=2ahUKEwiiy4rN18nnAhUQVN8KHZiMA1o4ChDoATAPegQIChAB#v=onepage&q=monastery%20of%20st%20Tarasios&f=false)"
"Ta Hebraika, monastery of",Constantinople - Ta Hebraika,,infrastructure,Ecclesia,monastery,,1,,,,"was originally a house/estate, converted to a monastery -- Mango says in the footnotes ""situation unknown"" (6305)"
The Monastery near the Sea,Carthage - The Monastery near the Sea,Monestary of Mandracium,infrastructure,Ecclesia,monastery,,1,10.3228,36.8525,Procopius; https://www.jstor.org/stable/pdf/124587.pdf?ab_segments=0%252Fbasic_SYC-5055%252Fcontrol&refreqid=excelsior%3Ac908bf73c6809bcefe2505144cf74716,housed soldier monks
Kanopos (or Metanoia),Kanopos (or Metanoia),,infrastructure,Ecclesia,monastery,,1,31.3,30.0833,,
Bronze House of the Great Palace,Constantinople - Bronze House  in Great Palace,,infrastructure,Senatus,house,within Great Palace,1,,,,
House of Leo,Constantinople - House of Leo,,infrastructure,Senatus,house,,1,,,,"could this be mistakenly tagged, as 'House of Leo' can refer to the dynasty? "
House of Pardos,Constantinople - House of Pardos,,infrastructure,Senatus,house,,1,,,,
House of Phillipikos,Constantinople - House of  Phillippikos,,infrastructure,Senatus,house,,1,,,,
Hospice of Eubolos,Antioch (Syria) - Hospice of Eubolos,,infrastructure,Ecclesia,hospice,,1,,,,
Martyrium,Jerusalem - Martyrium,,infrastructure,Ecclesia,shrine,,1,31.778499,35.229534,,should also be combined with the church of the holy speulchre (see the western dome)
The Mount of Olives in Sykai,Constantinople - The Mount of Olives in Sykai,,infrastructure,Topography,hill,,1,,,,
Caesarius (Proclinesian),Constantinople - Caesarius (Proclinesian Harbor),,infrastructure,Hydrology,harbour,,1,41.004667,28.952222,https://tools.wmflabs.org/geohack/geohack.php?pagename=Harbour_of_Eleutherios&params=41_0_16.8_N_28_57_8_E_,Harbour of Eleutherios
Harbor,Constantinople - Harbor in Hebdomon Palace,,infrastructure,Hydrology,harbour,,1,,,,
Seleukeia ad Belum (Syria) - The Harbor,Seleukeia ad Belum (Syria) - The Harbor,,infrastructure,Hydrology,harbour,,1,,,,
Thomites Hall (Bishop's Palace),Constantinople - Thomites Hall in Patriarchal Palace,,infrastructure,Imperium,hall,within Patriarchal Palace,1,,,,
Octagon,Constantinople - Octagon,,infrastructure,Imperium,hall,within Great Palace,1,,,,
Triconch,Constantinople - Triconch in Great Palace,,infrastructure,Imperium,hall,within Great Palace,1,,,,
Castle of the Theodosiani,Constantinople - Castle of the Theodosiani in Hebdomon Palace,,infrastructure,Defense,guardhouse,within Hebdomon Palace,1,,,,
Kyklobion Castle (Round Castle),Constantinople - Kyklobion Castle (Round Castle) in Hebdomon Palace,,infrastructure,Defense,guardhouse,within Hebdomon Palace,1,,,,
Scholai,Constantinople - Scholai in Great Palace,,infrastructure,Defense,guardhouse,within Great Palace,1,,,,
Harma,Constantinople - Harma,,infrastructure,Defense,guardhouse,,1,,,,
Constantinople - Atalos Gate,Constantinople - Atalos Gate,,infrastructure,Defense,gate,,1,40.993077,28.92263,," ""Constantinople - Atalos"" should be combined into this entry; This is in fact the ""Golden Gate"""
Constantinople - Blachernai Gate,Constantinople - Blachernai Gate,,infrastructure,Defense,gate,,1,,,,
City Gates,Ravenna - City Gates,,infrastructure,Defense,gate,,1,44.414645,12.193346,https://www-jstor-org.ezproxy.wesleyan.edu/stable/40310887?seq=6#metadata_info_tab_contents,
Perama,Constantinople - Perama,,infrastructure,Defense,gate,,1,41.016667,28.968889,https://www-jstor-org.ezproxy.wesleyan.edu/stable/1291840?Search=yes&resultItemClick=true&searchText=magdalino&searchText=maritime&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dmagdalino%2Bmaritime%26amp%3Bfilter%3D&ab_segments=0%2Fbasic_SYC-5152%2Fcontrol&refreqid=search%3A53b87ea40c4d370f430a269d08eb2eba&seq=1#metadata_info_tab_contents,
Tetrapylon,Constantinople - Tetrapylon,,infrastructure,Defense,gate,,1,41.008675,28.96698,,
The Gate to Rome,Constantinople - Gate to Rome,,infrastructure,Defense,gate,,1,41.022719,28.926154,,
Coppermarket,Constantinople - Coppermarket,,infrastructure,Populus,forum,,1,,,,"according to this link, this should be a district (and thus a shape file) https://books.google.com/books?id=Y3LKDwAAQBAJ&pg=PT236&lpg=PT236&dq=copper+market+constantinople&source=bl&ots=x-EYNQwaYL&sig=ACfU3U0qDs7mT5GQ55HJVqVbiq0j7lpShA&hl=en&ppis=_e&sa=X&ved=2ahUKEwiJp_DakbvnAhUMTN8KHeHiBP4Q6AEwBXoECAoQAQ#v=onepage&q=copper%20market%20constantinople&f=false"
"Forum, arch of the","Constantinople - Forum, arch of the",,infrastructure,Populus,forum,,1,41.008179,28.971669,,"This is the approximate location; according to Theophanes, the arch that was burned was close to the Praetorium, which is near the Forum of Constantine"
The Market,Carthage - The Market,,infrastructure,Populus,forum,,1,36.7971,10.1698,"https://www.google.com/maps/place/Souk+el+Bey/@36.797581,10.169707,15z/data=!4m5!3m4!1s0x0:0xea5170b4c61797e4!8m2!3d36.797581!4d10.169707","Modern archeologists on the site have not yet 'discovered' the ancient agora. Lancel, Carthage (Paris 1992; Oxford 1997) at 141."
Campus Tribunalis,Rome - Campus Tribunalis,,infrastructure,Topography,field,,1,,,,The Campus Tribunalis seems to be the Constantinople version of Rome's Campus Martius. Needs to be looked into. 
Imperium Possessions,Carthage - Imperium Possessions,,infrastructure,Topography,field,,1,,,,
Estate of Caesarius,Constantinople - Estate of Caesarius,,infrastructure,Senatus,estate,,1,,,,
Estate of Hypatios and Pompeius,Constantinople - Estate of Hypatios and Pompeius,,infrastructure,Senatus,estate,,1,,,,
Suburban Estate,Carthage - Suburban Estate,,infrastructure,Senatus,estate,,1,,,"Goodman, Penelope. The Roman City and Its Periphery: From Rome to Gaul. Routledge, 2006.",Roman suburbs were present and prolific for elite Romans in late antiquity and the Early Medieval Period
Acropolis,Constantinople - Acropolis,,infrastructure,Topography,district,,1,41.010677,28.98185,,"This is the approximte location; according to Paolo A. Belzoni, the Acropolis is close to the north-east corner of Hagia Irene"
Amantius,Constantinople - Amantius,,infrastructure,Topography,district,,1,,,,
Anthemios (a suburb),Constantinople - Anthemios ,,infrastructure,Topography,district,,1,,,,
Areobindos,Constantinople - Areobindos,,infrastructure,Topography,district,,1,,,,
Aurelianai,Constantinople - Aurelianai,,infrastructure,Topography,district,,1,,,,
"Blachernai, palace of",Constantinople - Palace of Blachernai,,infrastructure,Topography,district,,1,41.0339,28.9403,https://en.wikipedia.org/wiki/Palace_of_Blachernae,
Constantinople - Dagistheos,Constantinople - Dagistheos,,infrastructure,Topography,district,,1,,,,
Darios,Constantinople - Darios,,infrastructure,Topography,district,,1,,,,
Diakonissa,Constantinople - Diakonissa,,infrastructure,Topography,district,,1,,,,
District of John,Alexandria - District of John,,infrastructure,Topography,district,,1,,,,
District of the Iobitai,Antioch (Syria) - District of the Iobitai,,infrastructure,Topography,district,,1,,,,
Eleusia,Constantinople - Eleusia,,infrastructure,Topography,district,,1,,,,
Eutropios (a suburb),Constantinople - Eutropios,,infrastructure,Topography,district,,1,,,,
"Hiereia, Suburb",Chalcedon - Suburb of Hiereia,,infrastructure,Topography,district,,1,,,,
"St. Stephen, church",Jerusalem - St. Stephen,,infrastructure,Ecclesia,church,,1,31.784999,35.229989,,
Kallinike,Constantinople - Kallinike,,infrastructure,Topography,district,,1,,,,
Karpianos,Constantinople - Karpianos,,infrastructure,Topography,district,,1,,,,
Kyros,Constantinople - Kyros,,infrastructure,Topography,district,,1,,,,
Mangana,Constantinople - Mangana,,infrastructure,Topography,district,,1,,,,
Mauros,Constantinople - Mauros,,infrastructure,Topography,district,,1,,,,
Omphakera,Constantinople - Omphakera,,infrastructure,Topography,district,,1,,,,
Pittakia,Constantinople - Pittakia,,infrastructure,Topography,district,,1,,,,
Platanion,Constantinople - Platanion,,infrastructure,Topography,district,,1,,,,
Platanoi/Platanon (suburb),Antioch (Syria) - Platanoi/Platanon,,infrastructure,Topography,district,,1,,,,
Probus,Constantinople - Probus,,infrastructure,Topography,district,,1,,,,
Rufus,Constantinople - Rufus,,infrastructure,Topography,district,,1,,,,
Shoemaker's Quarter,Constantinople - Shoemaker's Quarter,,infrastructure,Topography,district,,1,,,,
Silversmiths' Quarter,Constantinople - Silversmiths' Quarter,,infrastructure,Topography,district,,1,,,,
Stoicheion,Alexandria - Stoicheion,,infrastructure,Topography,district,,1,,,,
Constantinople - Secretum in Patriarchal Palace,Constantinople - Secretum in Patriarchal Palace,,infrastructure,Imperium,court,within Patriarchal Palace,1,,,,
Quaestorium,Constantinople - Quaestorium,,infrastructure,Imperium,court,within Great Palace,1,,,,
The Courts,Constantinople - The Courts in Great Palace,,infrastructure,Imperium,court,within Great Palace,1,,,,
Garsonostasion,Constantinople - Garsonostasion,,infrastructure,Imperium,court,within Great Church,1,,,,
The Cistern of the Basilica,Constantinople - The Cistern of the Basilica,,infrastructure,Hydrology,cistern,,1,41.029,28.584,https://en.wikipedia.org/wiki/Basilica_Cistern,
St. John the Baptist Church,Constantinople - St. John the Baptist Church in Hebdomon Palace,,infrastructure,Ecclesia,church,within Hebdomon Palace,1,,,,
Church of Bassa,Chalcedon - Church of Bassa,,infrastructure,Ecclesia,church,,1,,,,
Church of St. Peter,Tarsos/Tarsus - Church of St. Peter,,infrastructure,Ecclesia,church,,1,36.9143,34.8978,"https://www.google.com/maps/place/Saint+Paul's+Church,+Tarsus/@36.9141026,34.8955939,17z/data=!3m1!4b1!4m5!3m4!1s0x1527de65dbcdbbd1:0x90140eca7b6169a7!8m2!3d36.9141026!4d34.8977826",
Church of the Holy Apostle Peter,Rome - Church of the Holy Apostle Peter,,infrastructure,Ecclesia,church,,1,,,,"this is the same as the church of st peter (rome), they should be collapsed NK 1/24/20"
Churches of Heretics,Constantinople - Churches of Heretics,,infrastructure,Ecclesia,church,,1,,,,
Churches of the Heretics,Bosphoros (Crimea) - Churches of the Heretics,,infrastructure,Ecclesia,church,,1,,,,
"Edessa, Church of",Edessa - Church of Edessa,,infrastructure,Ecclesia,church,,1,37.1506,38.7933,"https://www.google.com/maps/place/Reji+Kilisesi/@37.1501183,38.793687,16.15z/data=!4m5!3m4!1s0x0:0x4169b83099e221f1!8m2!3d37.150298!4d38.79328",
"Forty Saints,  church of the",Constantinople - Forty Saints,,infrastructure,Ecclesia,church,,1,41.008438,28.966553,,
Constantinople - Great Church of Blachernai,Constantinople - Great Church of Blachernai,,infrastructure,Ecclesia,church,,1,41.0383,28.9425,https://tools.wmflabs.org/geohack/geohack.php?pagename=Church_of_St._Mary_of_Blachernae_(Istanbul)&params=41.0383_N_28.9425_E_type:landmark_region:TR,
Statue of Aphrodite,Jerusalem - Statue of Aphrodite,,infrastructure,Populus,monument,within the Great Bathhouse of Beth Shean,1,,,,
"Honoratoi, church of the",Constantinople - Honoratoi,,infrastructure,Ecclesia,church,,1,,,,
"Laurentius, church of the Holy Martyr","Constantinople - Laurentius, church of the Holy Martyr",,infrastructure,Ecclesia,church,,1,41.0249,28.956366,,
Mega Ekklesia,Constantinople - Mega Ekklesia,,infrastructure,Ecclesia,church,,1,,,,This is the same as the Great Church and the two should be collapsed
"Our Lady of the Pharos, church of",Constantinople - Our Lady of the Pharos,,infrastructure,Ecclesia,church,,1,41.0021,28.58.38,https://en.wikipedia.org/wiki/Church_of_the_Virgin_of_the_Pharos,
Papal Cathedral,Alexandria - Papal Cathedral,,infrastructure,Ecclesia,church,,1,30.0912,31.2762,"https://www.google.com/maps/place/St.+Mark's+Coptic+Orthodox+Cathedral/@30.2858624,30.7186459,9z/data=!4m8!1m2!2m1!1sEgypt+Saint+Mark's+Coptic+Orthodox+Cathedral+!3m4!1s0x14583f9adf8a3ec9:0x56c16c299e2af96c!8m2!3d30.0722775!4d31.2755656",
"Peter and Paul in the Orphanage, church of",Constantinople - Peter and Paul in the Orphanage,,infrastructure,Ecclesia,church,,1,,,,
"Peter and Paul in the Triconch, church of",Constantinople - Peter and Paul in the Triconch,,infrastructure,Ecclesia,church,,1,,,,
"St. John the Evangelist, church",Ephesos - St. John the Evangelist,,infrastructure,Ecclesia,church,,1,37.9539,27.3677,"https://www.google.com/maps/place/Basilica+Of+Saint+John/@37.9528691,27.3675619,15z/data=!4m5!3m4!1s0x0:0x11056fac46c6f02c!8m2!3d37.9528691!4d27.3675619",
"St. John, Church",Alexandria - St. John,,infrastructure,Ecclesia,church,,1,,,,
"St. John, Sanctuary",Alexandria - St. John Sanctuary ,,infrastructure,Ecclesia,church,,1,,,,
"St. Kallinikos, Church",Rhegion (Thrace) - St. Kallinikos,,infrastructure,Ecclesia,church,,1,,,,
"St. Kyriakos, church of",Constantinople - St. Kyriakos,,infrastructure,Ecclesia,church,,1,,,,
"St. Mark, Church",Alexandria - St. Mark,,infrastructure,Ecclesia,church,,1,31.1983,29.8994,https://en.wikipedia.org/wiki/Saint_Mark%27s_Coptic_Orthodox_Cathedral_(Alexandria),
"St. Michael, Archangel, church of","Constantinople - St. Michael, Archangel",,infrastructure,Ecclesia,church,,1,41.06,29.03,https://en.wikipedia.org/wiki/%C4%B0stinye,Also known as the Michaelion
"St. Mokios, church of",Constantinople - St. Mokios,,infrastructure,Ecclesia,church,,1,41.0101,28.9347,,
"St. Plato, monastery / church of",Constantinople - St. Plato,,infrastructure,Ecclesia,church,,1,40.5946,28.5543,https://en.wikipedia.org/wiki/Monastery_of_Stoudios,"This might actually be the Studios monastery, of which St. Plato was igumen around 797. I've used the coordinates for that location. "
"St. Samuel, church of",Constantinople - St. Samuel,,infrastructure,Ecclesia,church,,1,,,,"Most likely the Nea Ekklesia, located at the southern end of the Great Palace; perhaps these locations should be collapsed"
"St. Sophia, church",Nicaea - St. Sophia,,infrastructure,Ecclesia,church,,1,40.4281,29.7204,,
"St. Thekla, church",Seleukeia ad Belum (Syria) - St. Thekla,,infrastructure,Ecclesia,church,,1,33.8484,36.5467,,
"St. Theodore of Sphorakios,  church of",Constantinople - St. Theodore of Sphorakios,,infrastructure,Ecclesia,church,,1,41.016444,28.959881,,
"St. Theodore, Church",Euchaita - St. Theodore,,infrastructure,Ecclesia,church,,,,,,
"St. Theonas, Church",Alexandria - St. Theonas,,infrastructure,Ecclesia,church,,1,31.18894,29.884318,https://books.google.com/books?id=c2NdJo7uLZoC&pg=PA209&lpg=PA209&dq=Alexandria+St.+Theonas+church&source=bl&ots=y_ZbsAAQZe&sig=ACfU3U3EQXlJsbeHpeUH953ZC0xL8E647w&hl=en&sa=X&ved=2ahUKEwim--i55fDnAhW-hHIEHZyfAaU4FBDoATABegQICxAB#v=onepage&q=Alexandria%20St.%20Theonas%20church&f=false ; see also https://www.bibalex.org/alexmed/Projects/Details.aspx?ID=40721d2e-ffc3-4270-933e-63af57067560,"Also known as the Church of Saint Athanasius, which was later replaced by the Mosque of One Thousand Columns. Today the building on this site is called the Church of Santa Rita."
"St. Thomas, church of",Constantinople - St. Thomas,,infrastructure,Ecclesia,church,,1,,,,
"St. Vincent, church of",Constantinople - St. Vincent,,infrastructure,Ecclesia,church,,1,,,,
"Stephen of Aureliani, church of",Constantinople - Stephen of Aureliani,,infrastructure,Ecclesia,church,,1,,,,
The Cathedral Church,Emesa - The Cathedral Church,,infrastructure,Ecclesia,church,,1,,,,
Caesarea (Cappadocia) - The Church,Caesarea (Cappadocia) - The Church,,infrastructure,Ecclesia,church,,1,,,,
Caesarea Phillipi / Paneas - The Church,Caesarea Phillipi / Paneas - The Church,,infrastructure,Ecclesia,church,,1,,,,
Neocaesarea (Pontos) - The Church,Neocaesarea (Pontos) - The Church,,infrastructure,Ecclesia,church,,1,,,,
The Old Church,Emesa - The Old Church,,infrastructure,Ecclesia,church,,1,,,,
Carthage - The Palace Church,Carthage - The Palace Church,,infrastructure,Ecclesia,church,,1,36.8539,10.3234,"https://www.google.com/maps/place/Acropolium+of+Carthage/@36.8536893,10.3233906,15z/data=!4m5!3m4!1s0x0:0xd9c0633efe7a1fa9!8m2!3d36.8536893!4d10.3233906",
The Round Church (St. Mary),Antioch (Syria) - The Round Church (St. Mary),,infrastructure,Ecclesia,church,,1,,,,
"Theotokos (Honoratoi), church of",Constantinople - Theotokos (Honoratoi),,infrastructure,Ecclesia,church,,1,,,,
"Theotokos (Quarter of Areobindos), church of",Constantinople - Theotokos (Quarter of Areobindos),,infrastructure,Ecclesia,church,,1,,,,
"Theotokos (Quarter of Diakonissa), church of",Constantinople - Theotokos (Quarter of Diakonissa),,infrastructure,Ecclesia,church,,1,,,,
"Theotokos (Quarter of Kyros), church of",Constantinople - Theotokos (Quarter of Kyros),,infrastructure,Ecclesia,church,,1,,,,
"Theotokos in the Coppermarket (Chalkoprateia), church of",Constantinople - Theotokos in the Coppermarket (Chalkoprateia),,infrastructure,Ecclesia,church,,1,,,,
"Theotokos of Petalas, chruch of",Constantinople - Theotokos of Petalas,,infrastructure,Ecclesia,church,,1,,,,
"Ton Metropolitou (Petrion), church of",Constantinople - Ton Metropolitou (Petrion),,infrastructure,Ecclesia,church,,1,,,,
"Virgin, church of",Constantinople - Virgin,,infrastructure,Ecclesia,church,,1,41.0383,28.9425,https://en.wikipedia.org/wiki/Church_of_St._Mary_of_Blachernae_(Istanbul),"is this Church of St. Mary of Blachernae? If so, this is the coordinate"
Anaplous - Church of Archangel,Anaplous - Church of Archangel,,infrastructure,Ecclesia,church,,1,,,,
Constantinople - Hagia Sophia Ambo,Constantinople - Hagia Sophia Ambo,,infrastructure,Ecclesia,church,within Hagia Sophia,1,,,,
Tomb of Eudokia,Jerusalem - Tomb of Eudokia,,infrastructure,Ecclesia,tomb,,1,31.785,35.23,"https://en.wikipedia.org/wiki/St._Stephen%27s_Basilica,_Jerusalem","Within Church of St. Stephens, now St. Stephens Basilica; changed sub 1 to Ecclesia"
The Dug River/Canal,Alexandria - Dug River/Canal,,infrastructure,Hydrology,canal,,1,31.176419,29.897298,,
Tetrastoon,Alexandria - Tetrastoon,,infrastructure,Populus,building,,1,,,,
